"load_extension('/home/s062372/lib/libsqlitefunctions,so')"

operation;implementation;count;"avg dur (ms)";"stdev of avg dur (ms)";"avg dur (ms)";"stdev of avg dur (ms)";ops_per_sec;rows
insert;partiallypersistent;500941;6448,2438912;22,6237898447252;0,0128722621849679;4,51625837069141e-05;77686,4226062604;10
insert;rollback_reorder_lazy;260;1,0752512;0,203551744386641;0,00413558153846154;0,000782891324564004;241803,961716109;10
insert;rollback_reorder_lazy;605;1,354496;0,28471195243224;0,00223883636363636;0,00047059826848304;446660,602910603;10
insert;rollback_reorder_lazy;1390;2,22784;0,297220379334183;0,00160276258992806;0,000213827611031786;623922,723355358;10
insert;rollback_reorder_lazy;3200;3,7009408;0,532429629070526;0,001156544;0,000166384259084539;864645,011344143;10
insert;rollback_reorder_lazy;7444;6,6090752;0,219181687449172;0,000887839226222461;2,94440740796847e-05;1126330,04992892;10
insert;rollback_reorder_lazy;17164;23,147776;0,333124524166098;0,00134862363085528;1,94083269730889e-05;741496,720894483;10
insert;rollback_reorder_lazy;39786;60,641024;0,378713909541226;0,00152417996280099;9,51877317501701e-06;656090,504012597;10
insert;rollback_reorder_lazy;92447;202,6443008;0,790301996939964;0,00219200515754973;8,54870354841112e-06;456203,306162756;10
insert;rollback_reorder_lazy;215031;337,3549568;2,18479495033454;0,00156886661365106;1,01603719944312e-05;637402,817612906;10
insert;rollback_reorder_lazy;500884;1339,8388992;6,90075134395421;0,00267494848947062;1,37771446960858e-05;373838,97444616;10
modify;partiallypersistent;228;0,146048;0,0499819194331532;0,000640561403508772;0,000219218944882251;1561130,58720421;10
modify;partiallypersistent;560;0,4665088;0,109401729708853;0,000833051428571429;0,000195360231622951;1200406,08022828;10
modify;partiallypersistent;1367;1,2275712;0,357909766052469;0,000898003803950256;0,000261821335810146;1113581,02894561;10
modify;partiallypersistent;3167;2,6719488;0,48922362903523;0,000843684496368803;0,000154475411757256;1185277,20291646;10
modify;partiallypersistent;7457;7,2060672;0,34589858088071;0,000966349363014617;4,63857557839224e-05;1034822,43407333;10
modify;partiallypersistent;17126;17,31648;0,502826074727413;0,00101112227023239;2,93603920779758e-05;989000,073918025;10
modify;partiallypersistent;39769;47,4390528;0,790509225338368;0,00119286511604516;1,98775233306939e-05;838317,749885597;10
modify;partiallypersistent;91985;101,1168512;0,555436732151637;0,00109927543838669;6,03834029626178e-06;909690,115033962;10
modify;partiallypersistent;214523;308,1780224;1,30220612207396;0,00143657333898929;6,07024012378149e-06;696100,904046816;10
modify;partiallypersistent;499444;1910,1928448;6,97746923079302;0,00382463868782086;1,39704736282606e-05;261462,606437672;10
modify;rollback_reorder_lazy;229;0,9318144;0,182554605385287;0,00406905851528384;0,000797181682905182;245757,094975137;10
modify;rollback_reorder_lazy;557;1,2130048;0,209311518768239;0,00217774649910233;0,00037578369617278;459190,268661756;10
modify;rollback_reorder_lazy;1363;1,6829952;0,257408528293839;0,00123477270726339;0,000188854386129009;809865,649052356;10
modify;rollback_reorder_lazy;3161;3,0340096;0,266345857929623;0,000959825877886745;8,42599993450245e-05;1041855,63552601;10
modify;rollback_reorder_lazy;7355;6,2862336;0,265015225935417;0,000854688456832087;3,60319817723204e-05;1170016,97168874;10
modify;rollback_reorder_lazy;16959;29,951744;0,372245049076248;0,00176612677634295;2,19497051168258e-05;566210,768895461;10
modify;rollback_reorder_lazy;39762;76,9360128;0,391025659733418;0,00193491305266335;9,83415471388304e-06;516819,088394454;10
modify;rollback_reorder_lazy;92320;261,342336;1,03756198369831;0,00283083119584055;1,12387563225555e-05;353253,136912345;10
modify;rollback_reorder_lazy;214999;434,3170048;2,75698114113136;0,00202008848785343;1,28232277412052e-05;495027,819827146;10
modify;rollback_reorder_lazy;499689;1600,5812992;6,89614422217346;0,00320315496078561;1,3800872587096e-05;312192,20182677;10
remove;partiallypersistent;252;0,1682176;0,0595993865799902;0,000667530158730159;0,000236505502301548;1498059,65606453;10
remove;partiallypersistent;583;0,5445888;0,126181199949209;0,000934114579759863;0,000216434305230204;1070532,48248954;10
remove;partiallypersistent;1327;1,3651456;0,386447980472635;0,00102874574227581;0,000291219276919845;972057,486029329;10
remove;partiallypersistent;3157;2,973184;0,561193964367639;0,000941775102945835;0,000177761787889654;1061824,62975719;10
remove;partiallypersistent;7221;7,68512;0,398035757741549;0,00106427364630938;5,51219717132736e-05;939607,969686876;10
remove;partiallypersistent;16912;18,6384128;0,59060709804908;0,0011020821192053;3,4922368616904e-05;907373,400378814;10
remove;partiallypersistent;39529;51,1524096;0,725522351653728;0,0012940476510916;1,83541792520359e-05;772769,070100659;10
remove;partiallypersistent;92367;109,593472;1,47342202138137;0,001186500286899;1,59518228521156e-05;842814,798312075;10
remove;partiallypersistent;215087;330,4543744;1,58798572184926;0,00153637539414284;7,38299256509822e-06;650882,592764976;10
remove;partiallypersistent;499808;1974,3717376;7,41197981642561;0,00395026037518407;1,48296542200716e-05;253147,87001943;10
remove;rollback_reorder_lazy;249;0,901504;0,190886422840622;0,00362049799196787;0,000766612139922178;276205,097259691;10
remove;rollback_reorder_lazy;602;1,0385408;0,220031790679236;0,00172515083056478;0,000365501313420658;579659,460658647;10
remove;rollback_reorder_lazy;1334;1,6488192;0,236016729898916;0,0012359964017991;0,000176924085381496;809063,843992113;10
remove;rollback_reorder_lazy;3170;2,822912;0,239560259423618;0,000890508517350158;7,55710597550846e-05;1122953,88591639;10
remove;rollback_reorder_lazy;7264;6,9549824;0,223321440186412;0,000957459030837004;3,07435903340326e-05;1044431,1117164;10
remove;rollback_reorder_lazy;16977;29,6873984;0,38044406440521;0,00174868341874301;2,24093811866178e-05;571858,799186661;10
remove;rollback_reorder_lazy;39441;77,5734528;0,30916658943137;0,00196682266676808;7,83871071806898e-06;508434,246206455;10
remove;rollback_reorder_lazy;92161;245,2397056;0,789595832215048;0,00266099223749742;8,56757014588647e-06;375799,668224687;10
remove;rollback_reorder_lazy;214686;442,7476224;2,90778487834185;0,00206230318884324;1,35443618975706e-05;484894,755247363;10
remove;rollback_reorder_lazy;499474;1577,1082496;7,63376595150921;0,00315753822941735;1,52836102610131e-05;316702,420475374;10
