"load_extension('/home/s062372/lib/libsqlitefunctions,so')"

operation;implementation;count;"dur (µs)";"duration (µs) per op";"ops per ms"
access;partiallypersistent;92584;16009,728;0,17292110947896;5782,98394576098
access;partiallypersistent;92584;15570,176;0,168173507301478;5946,23978560037
access;partiallypersistent;92584;16178,944;0,174748811889743;5722,49956486653
access;partiallypersistent;92584;15681,792;0,16937907197788;5903,91710335145
access;partiallypersistent;92584;16195,328;0,174925775511968;5716,71039944359
access;partiallypersistent;92584;16405,76;0,177198652034909;5643,38378715768
access;partiallypersistent;92584;15705,6;0,169636222241424;5894,967400163
access;partiallypersistent;92584;15997,184;0,172785621705694;5787,51860327418
access;partiallypersistent;92584;16024,832;0,173084247818198;5777,53326836749
access;partiallypersistent;92584;18034,944;0,194795472219822;5133,58954704822
access;partiallypersistent;214613;38192,896;0,177961707818259;5619,18635339933
access;partiallypersistent;214613;38616,832;0,179937058798861;5557,49886474375
access;partiallypersistent;214613;39154,176;0,182440840023671;5481,22887326246
access;partiallypersistent;214613;40380,928;0,188156952281549;5314,71193529777
access;partiallypersistent;214613;38762,24;0,180614594642449;5536,65113264868
access;partiallypersistent;214613;39277,056;0,183013405525294;5464,08060726344
access;partiallypersistent;214613;39388,16;0,183531100166346;5448,66782302093
access;partiallypersistent;214613;39896,32;0,18589889708452;5379,26806281883
access;partiallypersistent;214613;39418,368;0,183671855852162;5444,49227324683
access;partiallypersistent;214613;40166,656;0,187158541188092;5343,06365956877
access;partiallypersistent;499807;96082,176;0,192238556082648;5201,8701158475
access;partiallypersistent;499807;97456,896;0,194989057776302;5128,49290829045
access;partiallypersistent;499807;98634,496;0,197345167234553;5067,26368835504
access;partiallypersistent;499807;98995,712;0,198067878200986;5048,77423377691
access;partiallypersistent;499807;97951,744;0,195979135946475;5102,5839825782
access;partiallypersistent;499807;97737,216;0,195549914266907;5113,78388351066
access;partiallypersistent;499807;97808,64;0,195692817427527;5110,04958253177
access;partiallypersistent;499807;98845,184;0,197766705948496;5056,46284193269
access;partiallypersistent;499807;99636,224;0,199349396867191;5016,31816155538
access;partiallypersistent;499807;97842,176;0,195759915327316;5108,29808200505
access;rollback_reorder_lazy;262;7196,928;27,4691908396947;36,4044214420375
access;rollback_reorder_lazy;262;8926,464;34,0704732824427;29,3509277581806
access;rollback_reorder_lazy;262;7470,592;28,5137099236641;35,0708484682338
access;rollback_reorder_lazy;262;7367,936;28,121893129771;35,5594836871547
access;rollback_reorder_lazy;262;5968,128;22,7791145038168;43,8998627375284
access;rollback_reorder_lazy;262;6304,0;24,0610687022901;41,5609137055838
access;rollback_reorder_lazy;262;5883,136;22,4547175572519;44,5340716243854
access;rollback_reorder_lazy;262;4978,432;19,0016488549618;52,6270118784388
access;rollback_reorder_lazy;262;5579,776;21,2968549618321;46,9552899614608
access;rollback_reorder_lazy;262;9127,68;34,8384732824428;28,7038984714626
access;rollback_reorder_lazy;563;10494,464;18,6402557726465;53,6473325364687
access;rollback_reorder_lazy;563;10352,64;18,3883481349911;54,3822638476756
access;rollback_reorder_lazy;563;11612,416;20,6259609236234;48,4825896695399
access;rollback_reorder_lazy;563;14230,272;25,2757939609236;39,5635445337939
access;rollback_reorder_lazy;563;14194,176;25,2116802841918;39,6641552140822
access;rollback_reorder_lazy;563;11601,664;20,6068632326821;48,5275215693197
access;rollback_reorder_lazy;563;10625,536;18,8730657193606;52,9855623283381
access;rollback_reorder_lazy;563;12501,504;22,2051580817052;45,0345814391612
access;rollback_reorder_lazy;563;12227,072;21,7177122557726;46,0453655625811
access;rollback_reorder_lazy;563;12940,544;22,9849804618117;43,5066717442482
access;rollback_reorder_lazy;1328;28670,464;21,5892048192771;46,3194456845903
access;rollback_reorder_lazy;1328;26476,032;19,9367710843373;50,1585736110305
access;rollback_reorder_lazy;1328;31846,912;23,9811084337349;41,6994903618913
access;rollback_reorder_lazy;1328;30158,08;22,7093975903614;44,0346335045202
access;rollback_reorder_lazy;1328;31153,664;23,4590843373494;42,627409732608
access;rollback_reorder_lazy;1328;26175,232;19,710265060241;50,7349848895322
access;rollback_reorder_lazy;1328;26841,856;20,2122409638554;49,4749692420673
access;rollback_reorder_lazy;1328;28968,192;21,8133975903614;45,8433857383989
access;rollback_reorder_lazy;1328;31140,864;23,4494457831325;42,6449311104535
access;rollback_reorder_lazy;1328;26967,04;20,3065060240964;49,2453009303209
access;rollback_reorder_lazy;3068;76816,64;25,0380182529335;39,9392631596487
access;rollback_reorder_lazy;3068;80413,696;26,2104615384615;38,1527047332832
access;rollback_reorder_lazy;3068;76354,304;24,8873220338983;40,1811009894085
access;rollback_reorder_lazy;3068;73082,624;23,8209335071708;41,9798829335958
access;rollback_reorder_lazy;3068;73437,952;23,9367509778357;41,7767641450568
access;rollback_reorder_lazy;3068;74883,328;24,4078644067797;40,9704013154971
access;rollback_reorder_lazy;3068;75929,088;24,7487249022164;40,4061220911807
access;rollback_reorder_lazy;3068;75403,008;24,5772516297262;40,6880319681676
access;rollback_reorder_lazy;3068;76331,776;24,8799791395046;40,1929597445761
access;rollback_reorder_lazy;3068;73274,368;23,8834315514994;41,8700301857261
access;rollback_reorder_lazy;7254;193738,496;26,7078158257513;37,4422231501167
access;rollback_reorder_lazy;7254;193378,816;26,6582321477805;37,5118647949525
access;rollback_reorder_lazy;7254;191511,04;26,4007499310725;37,8777119063214
access;rollback_reorder_lazy;7254;194668,544;26,8360275709953;37,2633392686186
access;rollback_reorder_lazy;7254;196967,936;27,1530102012683;36,8283292565953
access;rollback_reorder_lazy;7254;197703,168;27,2543655913979;36,6913695586304
access;rollback_reorder_lazy;7254;199950,592;27,5641841742487;36,2789623548601
access;rollback_reorder_lazy;7254;193821,952;26,7193206506755;37,4261012498729
access;rollback_reorder_lazy;7254;198886,144;27,4174447201544;36,4731290682573
access;rollback_reorder_lazy;7254;193379,328;26,6583027295285;37,5117654768146
access;rollback_reorder_lazy;17119;525367,296;30,6891346457153;32,5848223335166
access;rollback_reorder_lazy;17119;535309,312;31,2698938022081;31,9796417066625
access;rollback_reorder_lazy;17119;534562,816;31,2262875167942;32,0243000216461
access;rollback_reorder_lazy;17119;540666,112;31,5828092762428;31,6627945048644
access;rollback_reorder_lazy;17119;536558,848;31,3428849815994;31,9051676508743
access;rollback_reorder_lazy;17119;535901,44;31,3044827384777;31,9443067740217
access;rollback_reorder_lazy;17119;534862,848;31,2438137741691;32,0063359495106
access;rollback_reorder_lazy;17119;550497,024;32,1570783340148;31,0973524899564
access;rollback_reorder_lazy;17119;526866,432;30,7767061160115;32,4921060827804
access;rollback_reorder_lazy;17119;529834,752;30,9500994216952;32,3100739152724
access;rollback_reorder_lazy;39751;1353738,24;34,055451183618;29,3638746586637
access;rollback_reorder_lazy;39751;1365037,824;34,3397102965963;29,1208047873112
access;rollback_reorder_lazy;39751;1375219,2;34,5958390983875;28,9052101657685
access;rollback_reorder_lazy;39751;1369926,912;34,4627031269654;29,0168764857435
access;rollback_reorder_lazy;39751;1371447,04;34,5009443787578;28,984713839187
access;rollback_reorder_lazy;39751;1368266,24;34,4209262660059;29,052094422793
access;rollback_reorder_lazy;39751;1366520,32;34,3770048552238;29,0892125189913
access;rollback_reorder_lazy;39751;1379778,56;34,7105370934065;28,8096953760464
access;rollback_reorder_lazy;39751;1366126,08;34,3670871173052;29,0976071549706
access;rollback_reorder_lazy;39751;1372001,024;34,5148807325602;28,9730104457998
access;rollback_reorder_lazy;92447;8533994,24;92,312289636224;10,8327938126192
access;rollback_reorder_lazy;92447;8564771,072;92,6452028946315;10,7938670190764
access;rollback_reorder_lazy;92447;8612740,352;93,1640870120177;10,7337497964318
access;rollback_reorder_lazy;92447;8617150,72;93,211794000887;10,7282561259414
access;rollback_reorder_lazy;92447;8632539,136;93,3782506300908;10,7091318722751
access;rollback_reorder_lazy;92447;8639868,672;93,457534284509;10,7000468999721
access;rollback_reorder_lazy;92447;8561672,448;92,6116850519757;10,7977735146356
access;rollback_reorder_lazy;92447;8610714,112;93,1421691563815;10,7362756209923
access;rollback_reorder_lazy;92447;8571102,208;92,7136868475992;10,7858940141576
access;rollback_reorder_lazy;92447;8610710,272;93,1421276190682;10,7362804089014
access;rollback_reorder_lazy;214790;66767334,656;310,84936289399;3,21699227783534
access;rollback_reorder_lazy;214790;67254391,808;313,116959858466;3,1936947792672
access;rollback_reorder_lazy;214790;67703326,72;315,207070720238;3,17251766502265
access;rollback_reorder_lazy;214790;67932479,744;316,273940797989;3,16181597977028
access;rollback_reorder_lazy;214790;67460780,544;314,077846007728;3,18392402619634
access;rollback_reorder_lazy;214790;67310178,816;313,376688002235;3,19104782929121
access;rollback_reorder_lazy;214790;67374627,072;313,676740406909;3,18799538245257
access;rollback_reorder_lazy;214790;67325901,568;313,449888579543;3,19030261753063
access;rollback_reorder_lazy;214790;67424777,216;313,910224945295;3,18562417065028
access;rollback_reorder_lazy;214790;66887960,576;311,410962223567;3,21119074569406
access;rollback_reorder_lazy;499953;496418522,88;992,930381215834;1,00711995414574
access;rollback_reorder_lazy;499953;496512971,264;993,1192957418;1,00692837636697
access;rollback_reorder_lazy;499953;497390209,024;994,873936198003;1,00515247572128
access;rollback_reorder_lazy;499953;496978024,192;994,049489035969;1,00598613150518
access;rollback_reorder_lazy;499953;497296096,0;994,685692455091;1,00534270029741
access;rollback_reorder_lazy;499953;494200788,992;988,494496466668;1,01163942093199
access;rollback_reorder_lazy;499953;498866642,944;997,827081633674;1,00217765022249
access;rollback_reorder_lazy;499953;496372923,648;992,839174178373;1,00721247308513
access;rollback_reorder_lazy;499953;496954899,712;994,003235728159;1,00603294240531
access;rollback_reorder_lazy;499953;497680368,896;995,454310497187;1,00456644715371
insert;partiallypersistent;262;379,392;1,44806106870229;690,578609986505
insert;partiallypersistent;262;339,456;1,29563358778626;771,823152337858
insert;partiallypersistent;262;190,208;0,725984732824427;1377,43943472409
insert;partiallypersistent;262;410,88;1,56824427480916;637,655763239875
insert;partiallypersistent;262;184,832;0,705465648854962;1417,50346260388
insert;partiallypersistent;262;188,928;0,721099236641221;1386,7716802168
insert;partiallypersistent;262;207,104;0,790473282442748;1265,06489493202
insert;partiallypersistent;262;381,696;1,45685496183206;686,410127431254
insert;partiallypersistent;262;186,88;0,713282442748092;1401,96917808219
insert;partiallypersistent;262;384,768;1,46858015267176;680,929807052562
insert;partiallypersistent;621;1273,088;2,05006119162641;487,790317715665
insert;partiallypersistent;621;1156,096;1,86166827697262;537,152624003543
insert;partiallypersistent;621;794,624;1,27958776167472;781,501691365979
insert;partiallypersistent;621;639,744;1,03018357487923;970,700780312125
insert;partiallypersistent;621;1257,472;2,02491465378422;493,847974348534
insert;partiallypersistent;621;1258,752;2,02697584541063;493,345790115924
insert;partiallypersistent;621;1269,504;2,04428985507246;489,167422867514
insert;partiallypersistent;621;881,92;1,42016103059581;704,14550072569
insert;partiallypersistent;621;1269,248;2,04387761674718;489,266085114966
insert;partiallypersistent;621;922,368;1,48529468599034;673,267069109076
insert;partiallypersistent;1387;2881,792;2,07771593366979;481,297748067869
insert;partiallypersistent;1387;2157,312;1,55537995674117;642,929719947787
insert;partiallypersistent;1387;2474,496;1,78406344628695;560,518182288434
insert;partiallypersistent;1387;4083,456;2,94409228550829;339,66326562598
insert;partiallypersistent;1387;3206,144;2,31156741167988;432,606894762057
insert;partiallypersistent;1387;4221,952;3,04394520547945;328,521025345622
insert;partiallypersistent;1387;2416,896;1,74253496755588;573,876575574621
insert;partiallypersistent;1387;2052,096;1,47952126892574;675,894305139721
insert;partiallypersistent;1387;4237,312;3,05501946647441;327,330156476559
insert;partiallypersistent;1387;2291,712;1,65227974044701;605,224391197498
insert;partiallypersistent;3210;7760,384;2,41756510903427;413,639325064327
insert;partiallypersistent;3210;4982,784;1,5522691588785;644,218172009864
insert;partiallypersistent;3210;5612,032;1,74829657320872;571,985334367302
insert;partiallypersistent;3210;6023,936;1,87661557632399;532,874187242361
insert;partiallypersistent;3210;5086,976;1,5847277258567;631,02322479996
insert;partiallypersistent;3210;5641,728;1,7575476635514;568,97461203376
insert;partiallypersistent;3210;7982,848;2,48686853582555;402,112128403297
insert;partiallypersistent;3210;8224,0;2,5619937694704;390,321011673152
insert;partiallypersistent;3210;6924,032;2,15701931464174;463,602710097238
insert;partiallypersistent;3210;6955,776;2,16690841121495;461,486971403335
insert;partiallypersistent;7382;19914,24;2,69767542671363;370,689516647384
insert;partiallypersistent;7382;18872,32;2,55653210512056;391,154876559957
insert;partiallypersistent;7382;18387,712;2,49088485505283;401,463760145906
insert;partiallypersistent;7382;20011,52;2,71085342725549;368,887520788026
insert;partiallypersistent;7382;20095,232;2,72219344351124;367,35082232442
insert;partiallypersistent;7382;20151,808;2,7298574911948;366,319488554079
insert;partiallypersistent;7382;17518,848;2,37318450284476;421,37473879561
insert;partiallypersistent;7382;18347,008;2,48537090219453;402,354432940783
insert;partiallypersistent;7382;18982,144;2,57140937415335;388,891792202187
insert;partiallypersistent;7382;19994,624;2,70856461663506;369,199240755915
insert;partiallypersistent;17029;50129,664;2,94378201890892;339,699065208177
insert;partiallypersistent;17029;46825,728;2,74976381466909;363,667597437033
insert;partiallypersistent;17029;47134,72;2,76790886135416;361,283571855312
insert;partiallypersistent;17029;48046,848;2,82147207704504;354,424914616668
insert;partiallypersistent;17029;48705,536;2,86015244582771;349,631713323102
insert;partiallypersistent;17029;48401,408;2,84229302953785;351,828607961157
insert;partiallypersistent;17029;49016,576;2,87841775794233;347,413087360488
insert;partiallypersistent;17029;48029,952;2,82047988725116;354,549594386436
insert;partiallypersistent;17029;49535,744;2,90890504433613;343,771963937798
insert;partiallypersistent;17029;46316,8;2,7198778554231;367,663569158491
insert;partiallypersistent;39603;137714,688;3,47738019846981;287,572811405563
insert;partiallypersistent;39603;141037,824;3,56129141731687;280,797015132621
insert;partiallypersistent;39603;137801,216;3,47956508345327;287,392238977049
insert;partiallypersistent;39603;137258,496;3,46586107113098;288,528587694856
insert;partiallypersistent;39603;140770,816;3,55454930182057;281,329618775528
insert;partiallypersistent;39603;138927,104;3,50799444486529;285,063165212168
insert;partiallypersistent;39603;141347,84;3,56911951114815;280,181147444489
insert;partiallypersistent;39603;138223,104;3,49021801378683;286,515053228728
insert;partiallypersistent;39603;140294,912;3,54253243441153;282,283936284161
insert;partiallypersistent;39603;138492,672;3,49702477085069;285,957368199236
insert;partiallypersistent;92439;285617,92;3,08979889440604;323,645659207938
insert;partiallypersistent;92439;287682,816;3,11213682536592;321,322633326837
insert;partiallypersistent;92439;285677,568;3,09044416317788;323,578083666688
insert;partiallypersistent;92439;285374,464;3,08716520083515;323,921764772899
insert;partiallypersistent;92439;288978,176;3,12614995835091;319,882287581468
insert;partiallypersistent;92439;287201,536;3,10693036488928;321,861091996388
insert;partiallypersistent;92439;287538,432;3,11057488722293;321,483981661276
insert;partiallypersistent;92439;288077,056;3,11640169192657;320,882895998493
insert;partiallypersistent;92439;288178,688;3,11750114129318;320,76973020295
insert;partiallypersistent;92439;284405,248;3,07668027564123;325,025647909282
insert;partiallypersistent;215283;938840,064;4,36095773470269;229,307427596102
insert;partiallypersistent;215283;945317,376;4,39104516380764;227,73621374754
insert;partiallypersistent;215283;951398,912;4,41929419415374;226,280477394534
insert;partiallypersistent;215283;949474,56;4,41035548557016;226,739092409174
insert;partiallypersistent;215283;944477,952;4,38714599852287;227,938618941949
insert;partiallypersistent;215283;948794,368;4,40719596066573;226,901641979393
insert;partiallypersistent;215283;950076,672;4,41315232507908;226,595396292395
insert;partiallypersistent;215283;950199,04;4,41372073038744;226,56621501112
insert;partiallypersistent;215283;949048,832;4,40837795831533;226,840803909234
insert;partiallypersistent;215283;949265,664;4,40938515349563;226,788988756682
insert;partiallypersistent;500941;6393737,216;12,7634536123016;78,3487001540227
insert;partiallypersistent;500941;6441812,736;12,8594240359643;77,763980502025
insert;partiallypersistent;500941;6470154,496;12,9160010779713;77,4233444208625
insert;partiallypersistent;500941;6466360,32;12,9084269804228;77,4687730361429
insert;partiallypersistent;500941;6462277,376;12,9002764317554;77,5177187318553
insert;partiallypersistent;500941;6435223,552;12,8462704230638;77,8436049582633
insert;partiallypersistent;500941;6447517,952;12,8708130338703;77,6951694790721
insert;partiallypersistent;500941;6458430,72;12,8925975713707;77,5638884611276
insert;partiallypersistent;500941;6464878,848;12,9054696022086;77,4865255448635
insert;partiallypersistent;500941;6442045,696;12,85988908075;77,7611683678439
insert;rollback_reorder_lazy;260;868,096;3,33883076923077;299,506045414332
insert;rollback_reorder_lazy;260;1325,568;5,09833846153846;196,142332947084
insert;rollback_reorder_lazy;260;1205,76;4,63753846153846;215,631634819533
insert;rollback_reorder_lazy;260;1206,528;4,64049230769231;215,494377254403
insert;rollback_reorder_lazy;260;1023,744;3,93747692307692;253,969742435609
insert;rollback_reorder_lazy;260;1105,408;4,25156923076923;235,207271885132
insert;rollback_reorder_lazy;260;1058,048;4,06941538461538;245,735543188967
